FID,newID,X0_30cm,Clay50m30,Clay100m30,Clay250m30,Clay250mv2
94,95,31.011900000000001,29.783478733592528,18.289913906879143,22.819830712587574,30.692501490154953
199,200,31.011900000000001,34.081274022505561,13.539376804119465,16.989681641571433,33.090327162888094
247,248,31.011900000000001,33.031159033215047,12.918067765854323,16.055866786245510,32.555690002421407
77,78,31.079899999999999,32.056363294058201,13.105285934843199,16.707048020248624,32.565721593955089
98,99,31.079899999999999,28.245253404976822,17.848641675589075,22.859238292722505,30.570036427212081
233,234,31.079899999999999,27.249299669914560,16.534051264106704,20.553445545551902,30.848408275118558
68,69,31.204799999999999,30.087080202481030,13.677069931015071,17.559054739885173,33.059264185243400
182,183,31.210300000000000,32.230178747539270,16.468553999330606,20.326687915337367,28.100899226886629
30,31,31.362800000000000,32.087216119651956,22.060976172542574,22.090139144341666,30.228485270752824
190,191,31.362800000000000,34.320500312545249,19.404555426454614,19.951538564175568,30.887551070510337
83,84,31.390400000000000,34.090373919159518,13.500578159250649,15.924209612174888,29.968284752958077
227,228,31.390400000000000,27.051010706394667,13.538747014125240,16.610259355241539,33.913552494377086
186,187,31.467199999999998,28.316336618086225,20.848600936877116,22.743353171070972,30.753628503354047
209,210,31.574400000000001,25.228579469418420,14.587721466389167,15.940145651020853,31.572517560724943
80,81,32.289499999999997,38.306382917387594,13.804647728223852,16.061666488647461,36.316665649414062
65,66,32.421100000000003,34.105058884914037,19.709120610226421,21.284361674712645,30.694042819172992
97,98,32.421100000000003,31.699370100239161,20.529347711920391,19.808324371908373,30.470482629989661
181,182,32.421100000000003,31.843977100629072,21.192029745493986,21.573765592012265,30.188057532841054
232,233,32.421100000000003,31.568748395707424,21.153370210478563,21.316571210531265,29.977032118836924
242,243,32.421100000000003,29.240680185213076,20.973640171325819,21.936906976706965,30.896881510739497
120,121,39.353999999999999,35.961362435300352,14.551103525112829,16.504687330509093,34.577476696683327
129,130,41.979700000000001,37.248783004629310,13.731603793675140,16.064500014982219,33.021777298512717
223,224,43.616300000000003,27.742482393472891,20.895321973779236,20.806666952522409,30.974014862044434
